ein,ccn_count,hospital_name,hcris_charity_care_cost,hcris_uncompensated_care_cost,hcris_total_operating_expenses,hcris_fy_end_dt,svi_overall_pct,svi_socio_pct,svi_household_pct,svi_minority_pct,svi_housing_pct,sched_h_organization_name,sched_h_tax_period_end,sched_h_financial_assistance_at_cost,sched_h_total_community_benefit,sched_h_total_expenses,charity_gap,community_benefit_pct_of_expenses
741152597,8,MEMORIAL HERMANN KINGWOOD,427985312,532498326,6867802978,2024-06-30,92,96,75,97,71,Memorial Hermann Health System,2023-06-30,307172517,470246420,6952309636,120812795,0
620646012,1,ST JUDE CHILDRENS RESEARCH HOSPITAL,0,0,0,2024-06-30,87,90,78,94,63,ST JUDE CHILDREN'S RESEARCH HOSPITAL,2023-06-30,112089959,839510441,1519049173,-112089959,inf
741109643,11,ASCENSION SETON EDGAR B DAVIS,223889801,256467574,2879522006,2024-09-30,57,55,18,88,78,ASCENSION SETON,2023-06-30,132519795,209760659,2631998802,91370006,0
060646652,1,YALE NEW HAVEN HOSPITAL,35568680,58874879,4113794015,2023-09-30,,,,,,YALE NEW HAVEN HOSPITAL,2023-09-30,113100512,618171998,4112468772,-77531832,0
941196203,22,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,210333410,283920283,9770248076,2024-07-31,78,70,64,91,73,DIGNITY HEALTH,2023-06-30,136855373,890087890,10126687245,73478037,0
591479658,3,ADVENTHEALTH WAUCHULA,227942812,255385581,5935769798,2023-12-31,87,82,87,89,79,Adventist Health SystemSunbelt Inc,2022-12-31,156466629,668155378,5809231036,71476183,0
364724966,8,VALLEY WEST COMMUNITY HOSPITAL,138911025,163499920,6766342274,2024-08-31,53,50,31,76,69,Northwestern Memorial HealthCare Group,2023-08-31,67545942,666870014,8938053992,71365083,0
591726273,2,ORLANDO HEALTH,143177373,156777989,3254040908,2023-09-30,81,81,59,95,66,Orlando Health Inc,2023-09-30,72596934,279880075,3288156944,70580439,0
314394942,5,RIVERSIDE METHODIST HOSPITAL,136771789,149019825,3506278984,2024-06-30,65,54,53,78,70,OhioHealth Corporation,2023-06-30,68402444,278559728,3824186620,68369345,0
751837454,15,TEXAS SPINE AND JOINT HOSPITAL,109139426,160724735,2543897698,2024-06-30,89,93,72,97,72,Baylor University Medical Center,2023-06-30,42340008,98666053,1308713628,66799418,0
581954432,5,NORTHSIDE HOSPITAL FORSYTH,293086930,373163258,5971277169,2023-09-30,64,56,43,93,25,NORTHSIDE HOSPITAL INC,2023-09-30,358575324,446531457,6737049547,-65488394,0
592142859,1,SHANDS JACKSONVILLE MEDICAL CENTER,76639228,88304215,1010802506,2024-06-30,79,71,61,87,81,SHANDS JACKSONVILLE MEDICAL CENTER INC,2023-06-30,11408482,86792939,970738047,65230746,0
520591656,1,THE JOHNS HOPKINS HOSPITAL,0,0,3282484000,2024-06-30,86,81,62,97,85,THE JOHNS HOPKINS HOSPITAL,2023-06-30,63958981,359693954,3085824238,-63958981,0
840405257,12,SALT LAKE REGIONAL MEDICAL CENTER,97188840,106211325,3008458308,2024-06-30,45,33,32,61,55,Catholic Health Initiatives Colorado,2023-06-30,38689202,222265354,2453902240,58499638,0
112241326,1,LONG ISLAND JEWISH MEDICAL CENTER,21480466,27164539,4003637073,2023-12-31,80,83,19,98,88,LONG ISLAND JEWISH MEDICAL CENTER,2022-12-31,73019679,649534837,3763233576,-51539213,0
593458145,1,TAMPA GENERAL HOSPITAL,102388256,103038122,2146142409,2023-09-30,78,73,49,89,79,FLORIDA HEALTH SCIENCES CENTER INC,2023-09-30,51039498,301831677,2174424743,51348758,0
610444707,8,BAPTIST HEALTH HARDIN,27690414,46338607,3857460485,2024-08-31,55,42,44,44,66,Baptist Healthcare System Inc,2023-08-31,70869847,294837314,3533165433,-43179433,0
750800661,8,METHODIST MCKINNEY HOSPITAL,152621555,205332975,2081733463,2024-06-30,83,85,72,93,61,Methodist Hospitals of Dallas,2023-09-30,110100333,236358642,1748411893,42521222,0
590910342,1,BAPTIST HOSPITAL,27306450,46766454,1606122131,2023-09-30,88,90,44,99,89,Baptist Hospital of Miami Inc,2023-09-30,69100717,168060273,1893361379,-41794267,0
741100555,1,TEXAS CHILDRENS HOSPITAL,0,0,3638037115,2023-09-30,92,96,75,97,71,TEXAS CHILDREN'S HOSPITAL,2023-09-30,41239064,589882074,3644874281,-41239064,0
742577746,1,DRISCOLL CHILDRENS HOSPITAL,0,0,578676933,2024-08-31,94,93,78,97,85,Driscoll Children's Hospital,2023-08-31,39200012,167232568,542186982,-39200012,0
951683875,1,CITY OF HOPE NATIONAL MEDICAL CTR,0,0,2377313850,2023-09-30,86,90,28,97,92,CITY OF HOPE NATIONAL MEDICAL CENTER,2023-09-30,38243361,153553905,2391958398,-38243361,0
111562701,1,NORTH SHORE UNIVERSITY HOSPITAL,20713488,23621329,3639224077,2023-12-31,28,13,17,81,56,NORTH SHORE UNIVERSITY HOSPITAL,2022-12-31,58922825,493745404,3402576700,-38209337,0
440661018,2,UNIVERSITY HEALTH TRUMAN MED CENTER,37689620,60238846,903507662,2024-06-30,69,66,59,77,58,TRUMAN MEDICAL CENTER INCORPORATED,2023-06-30,0,35374879,767269440,37689620,0
440605373,2,CHILDRENS MERCY HOSPITAL,0,0,1118702926,2024-06-30,37,35,39,66,33,The Children's Mercy Hospital,2023-06-30,36255967,244025263,1778140684,-36255967,0
580566256,2,EMORY UNIVERSITY HOSPITAL,108142994,158324090,3289251069,2024-08-31,73,67,39,94,76,Emory University,2023-08-31,71899727,963757565,6019904381,36243267,0
481172106,2,ROCK REGIONAL HOSPITAL,50618598,66103986,761180156,2023-12-31,73,66,81,71,56,ASCENSION VIA CHRISTI HOSPITALS WICHITA INC,2023-06-30,14805683,37339131,710628155,35812915,0
900656139,10,MARTHAS VINEYARD HOSPITAL,76533328,127230151,12503104703,2023-09-30,45,38,20,70,82,MASS GENERAL BRIGHAM INCORPORATED &,2023-09-30,110886113,1426126688,21584405066,-34352785,0
811723202,7,OCONEE MEMORIAL HOSPITAL,143172333,186286082,2179440458,2023-09-30,62,48,55,70,74,Prisma Health-Upstate,2023-09-30,109136438,188815543,2274451398,34035895,0
592650456,1,LAKELAND REGIONAL MED CTR,49263370,65303442,942050457,2023-09-30,89,81,81,84,90,Lakeland Regional Medical Center Inc,2023-09-30,15629064,103250830,1039271249,33634306,0
133971298,1,NYU LANGONE HOSPITALS,109219081,112318278,8956110402,2024-08-31,73,63,10,89,98,NYU LANGONE HOSPITALS,2023-08-31,76960516,1470781277,7561157803,32258565,0
582032904,1,KENNESTONE HOSPITAL,92510989,109055962,1491697794,2024-06-30,40,41,35,87,22,KENNESTONE HOSPITAL INC,2023-06-30,60753000,94673482,1374071696,31757989,0
521341890,1,JOHNS HOPKINS BAYVIEW MED. CTR.,0,0,788964000,2024-06-30,86,81,62,97,85,JOHNS HOPKINS BAYVIEW,2023-06-30,31411427,103985679,767179381,-31411427,0
421707837,1,HENNEPIN COUNTY MEDICAL CENTER,64316586,69088367,1433229000,2023-12-31,41,20,20,70,81,HENNEPIN HEALTHCARE SYSTEM INC,2022-12-31,34360910,68272454,1457616429,29955676,0
580566213,1,PIEDMONT HOSPITAL INC.,45167015,52953877,1364294954,2024-06-30,66,56,23,93,85,PIEDMONT HOSPITAL INC,2023-06-30,17693662,52515556,1355182449,27473353,0
910939479,10,SACRED HEART MED CTR - UNIVERSITY,81177297,94938970,3440791041,2024-06-30,66,50,49,53,89,PEACEHEALTH,2023-06-30,54021441,319382533,3555611223,27155856,0
566017737,2,WAKEMED RALEIGH CAMPUS,89357830,121362851,1579331651,2023-09-30,36,25,32,80,43,WakeMed,2023-09-30,116034706,136165408,2092838776,-26676876,0
593238634,1,MOFFITT CANCER CENTER,0,123380,1843099905,2024-06-30,78,73,49,89,79,H LEE MOFFITT CANCER CENTER AND,2023-06-30,26674853,66174739,1622473343,-26674853,0
750818178,1,TEXAS SCOTTISH RITE HOSPITAL FOR CHI,0,0,0,2023-09-30,89,93,72,97,72,Texas Scottish Rite Hospital for Crippled Children,2023-09-30,26552358,102462326,276836732,-26552358,inf
741166904,1,SCOTT AND WHITE MEMORIAL HOSPITAL,72152696,84260029,2106936951,2024-08-31,94,89,89,90,88,Scott & White Memorial Hospital,2023-06-30,48325622,142640981,1378273525,23827074,0
720423651,3,SURGICAL SPECIALTY CENTER BATON ROUG,27230330,48158031,1512282873,2024-06-30,85,79,63,90,85,OUR LADY OF THE LAKE HOSPITAL INC,2023-06-30,3449685,41399308,1591541146,23780645,0
911858433,2,BELLEVUE MEDICAL CENTER,39562766,55455056,2479982475,2024-06-30,34,24,49,62,37,The Nebraska Medical Center,2023-06-30,16246065,370305091,2040013770,23316701,0
910564491,5,HIGHLINE MEDICAL CENTER,42779953,55029418,1766468275,2024-06-30,54,35,47,74,74,FRANCISCAN HEALTH SYSTEM,2023-06-30,20931998,187563408,1732889119,21847955,0
231689692,1,LEHIGH VALLEY,27833874,43399330,3328081627,2024-06-30,73,58,71,77,75,LEHIGH VALLEY HOSPITAL,2023-06-30,6056361,291635945,3080765011,21777513,0
912155626,4,HEALTHALLIANCE-CLINTON,27791018,42785092,2940210780,2023-09-30,51,34,41,63,74,UMass Memorial Health Care Inc & Affiliates,2023-09-30,6388549,381229447,3580384522,21402469,0
521362793,1,UNIVERSITY OF MARYLAND MED SYS,0,0,1224714940,2024-01-31,86,81,62,97,85,University of Maryland Medical System Corporation,2023-06-30,21124030,260975315,2149624123,-21124030,0
311439334,3,ST. ANNS HOSPITAL,39302025,49980465,1279234294,2024-06-30,65,54,53,78,70,MOUNT CARMEL HEALTH SYSTEM,2023-06-30,18285081,121301867,1412329535,21016944,0
741303720,1,BAPTIST BEAUMONT HOSPITAL,28224028,31305727,373577128,2024-08-31,97,93,92,93,93,Baptist Hospitals of Southeast Texas,2023-06-30,7428535,9362915,344607263,20795493,0
352528741,4,VANDERBILT UNIVERSITY MEDICAL CENTER,143286885,166201776,7266410607,2024-06-30,68,67,67,55,37,Vanderbilt University Medical Center,2023-06-30,162947963,616426371,6812818433,-19661078,0
060646659,1,GREENWICH HOSPITAL,3984548,8616527,531299537,2023-09-30,,,,,,GREENWICH HOSPITAL,2023-09-30,23567829,56070872,534503374,-19583281,0
